iter	Passed	Remaining
245	13069	666222246	13128	666012247	13167	664752248	13242	66532
249	13289	664482250	13364	66504
251	13419	664572252	13456	663272253	13508	662652254	13549	661512255	13634	66253
256	13695	66237
257	13738	66138
258	13789	66074
259	13851	66059
260	13898	65979
261	13962	65973
262	14029	65986
263	14076	65902
264	14126	65835
265	14180	65783
266	14233	65728
267	14287	65677
268	14364	65737
269	14432	65749
270	14475	65646
271	14521	65561
272	14565	65466
273	14614	65389
274	14695	65461
275	14739	65367
276	14813	65404
277	14856	65303
278	14918	65286
279	14978	65265
280	15025	65180
281	15087	65163
282	15149	65148
283	15199	65077
284	15261	65060
285	15309	64986
286	15374	64979
287	15427	64923
288	15510	64992
289	15570	64966
290	15607	64845
291	15652	64753
292	15724	64775
293	15768	64683
294	15823	64636
295	15872	64561
296	15955	64626
297	16017	64606
298	16074	64565
299	16114	64457
300	16172	64422
301	16238	64415
302	16299	64389
303	16353	64337
304	16433	64387
305	16488	64339
306	16546	64297
307	16588	64199
308	16652	64183
309	16694	64085
310	16770	64117
311	16823	64059
312	16877	64005
313	16929	63945
314	17004	63968
315	17046	63868
316	17098	63808
317	17141	63714
318	17196	63663
319	17228	63530
320	17282	63476
321	17349	63469
322	17387	63358
323	17457	63364
324	17526	63364
325	17590	63348
326	17645	63297
327	17724	63333
328	17770	63248
329	17828	63210
330	17901	63223
331	17953	63162
332	18004	63098
333	18069	63080
334	18133	63060
335	18186	63002
336	18242	62955
337	18312	62956
338	18367	62904
339	18417	62836
340	18475	62796
341	18519	62706
342	18557	62597
343	18625	62588
344	18681	62542
345	18719	62434
346	18767	62360
347	18824	62314
348	18871	62238
349	18920	62168
350	18983	62141
351	19043	62106
352	19103	62072
353	19146	61983
354	19219	61990
355	19279	61954
356	19323	61866
357	19370	61790
358	19429	61753
359	19466	616423360	19517	615803361	19570	615243362	19653	61559
363	19697	61472
364	19738	613793365	19801	61353
366	19864	61325
367	19925	61291
368	19974	61221
369	20018	61138
370	20090	61138
371	20133	61050
372	20183	60984
373	20271	61030
374	20332	60996
375	20376	60911
376	20421	60830
377	20488	60816
378	20543	60764
379	20592	60694
380	20633	60599
381	20689	60551
382	20742	60493
383	20794	604323384	20866	60430
385	20923	60385
386	20971	603133387	21028	60267
388	21073	60186
389	21171	602573390	21217	601793391	21271	601253392	21322	600613393	21365	599753394	21412	59901395	21502	59946
396	21547	59864
397	21619	59861
398	21673	59806
399	21736	59776
400	21805	59760
401	21874	59747
402	21914	59652
403	21956	59565
4404	21966	59390405	22053	59423
406	22103	59358
407	22157	59304
408	22195	59206
409	22242	59133
410	22281	59036
411	22326	58960
412	22417	59002
413	22467	58937
414	22518	58872
415	22567	58805
416	22608	58716
417	22651	58632
418	22705	58578
419	22742	58481
420	22783	58391
421	22823	58303
422	22861	58208
423	22909	58138
424	22955	58064
425	23001	57988
426	23053	57931
427	23086	57824
428	23122	57724
429	23160	57632
430	23208	57563
431	23253	57488
432	23305	57428
433	23355	57365
434	23385	57255
435	23439	57201
436	23493	57146
437	23553	57109
438	23600	57038
439	23640	56951
440	23684	56874
441	23732	56808
442	23776	56731
443	23810	56629
444	23865	56581
445	23917	56522
446	23966	56458
447	24034	56438
448	24075	56355
449	24124	56290
450	24165	56208
451	24209	56132
452	24256	56063
453	24305	55999
454	24352	55931
455	24387	55835
456	24447	55795
457	24492	55723
458	24550	55679
459	24601	55620
460	24641	55537
461	24692	55477
462	24737	55406
463	24793	55356
464	24844	55298
465	24891	55232
466	24942	55173
467	24999	55126
468	25047	55062
469	25082	54968
470	25128	54897
471	25171	54823
472	25214	54746
473	25256	54669
474	25304	54604
475	25339	54510
476	25380	54433
477	25437	54386
478	25477	54305
479	25517	54223
480	25570	54172
481	25613	54095
482	25644	53996
483	25688	53924
484	25733	53853
485	25773	53775
486	25813	53694
487	25863	53634
488	25898	53543
489	25942	53474
490	25991	53412
491	26038	53346
492	26083	53278
493	26117	53186
494	26167	53127
495	26212	53059
496	26252	52980
497	26304	52926
498	26347	52853
499	26416	52832
500	26477	52797
501	26534	52750
502	26571	52667
503	26620	52606
504	26658	52524
505	26700	52450
506	26749	52390
507	26795	52325
508	26847	52271
509	26880	52180
510	26929	52119
511	26964	52033
512	27002	51951
513	27046	51883
514	27096	51824
515	27136	51749
516	27179	51677
517	27213	51590
518	27254	51515
519	27288	51428
520	27328	51352
521	27365	51271
522	27404	51193
523	27441	51112
524	27465	51007
525	27491	50906
526	27522	50813
527	27561	50738
528	27592	50647
529	27643	50592
530	27679	50510
531	27716	50430
532	27764	50372
533	27798	50287
534	27836	50209
535	27871	50127
536	27910	50051
537	27952	49981
538	27980	49887
5539	27977	497375540	28015	496615541	28057	495925542	28114	49549
543	28145	49461
544	28173	493675545	28205	492815546	28249	492175547	28286	491395548	28323	490635549	28366	489955550	28398	489115551	28447	488555552	28476	487655553	28504	48673554	28584	48671
5555	28593	485475556	28640	484885557	28675	484095558	28715	483385559	28748	482565560	28790	481885561	28827	481145562	28868	48045563	28953	48050
5564	28954	479165565	29003	478615566	29047	477975567	29088	477295568	29126	476565569	29170	475945570	29212	475285571	29272	47490
572	29302	47404
573	29337	47328
574	29373	47253
575	29412	47182
576	29452	47114
577	29487	47037
578	29518	46954
579	29550	46872
580	29580	467895581	29609	467045582	29652	466405583	29688	465655584	29731	465025585	29771	464355586	29809	463655587	29843	46288588	29922	46280
589	29960	46209
590	30001	46145
5591	29997	46009592	30077	46003
5593	30089	45894594	30174	45895
595	30219	45836
5596	30215	457035597	30262	456465598	30310	455915599	30353	455306600	30386	454536601	30438	45404
602	30483	45346
603	30518	45272
604	30574	45230
605	30620	45173
606	30657	45102
607	30695	45032
608	30731	44962
609	30768	44892
610	30808	44825
611	30849	44761
612	30890	44698
613	30930	44631
614	30969	44565
615	31021	44518
616	31065	44457
617	31109	44398
618	31156	44343
619	31199	44282
620	31255	44240
621	31312	44199
622	31410	44217
623	31488	44205
624	31549	44169
625	31606	44127
626	31656	44076
627	31699	44015
628	31744	43957
629	31860	43997
630	31920	43959
631	31988	43933
632	32041	43886
633	32125	43880
634	32194	43855
635	32258	43822
636	32299	43758
637	32347	43704
638	32404	43661
639	32454	43611
640	32497	43549
641	32547	43498
642	32602	43452
643	32651	43399
644	32699	43345
645	32732	43272
646	32769	43203
647	32817	43148
648	32858	43086
649	32899	43022
650	32942	42961
651	32987	42904
652	33022	42833
653	33057	42762
654	33093	42693
655	33119	42610
656	33164	42553
657	33205	42491
658	33244	42426
659	33295	42376
660	33323	42297
661	33370	42241
662	33411	42180
663	33464	42133
664	33527	42098
665	33576	42046
666	33624	41992
667	33670	419376668	33704	41865
669	33751	41811
670	33791	41748
671	33834	41689
672	33888	41642
673	33938	41591
674	33980	41531
675	34028	41478
676	34073	41422
677	34123	41371
678	34166	41311
679	34200	41242
680	34245	41184
681	34291	41129
682	34345	41083
683	34384	41019
684	34437	40973
685	34487	40922
686	34545	40880
687	34590	40824
688	34646	40781
689	34693	40727
690	34741	40674
691	34788	40620
692	34827	40556
693	34873	40501
694	34919	40445
695	34969	40395
696	35012	40337
697	35069	40295
698	35120	40245
699	35160	40182
700	35201	40122
701	35237	40056
702	35289	40008
703	35325	39942
704	35388	39905
705	35425	39841
706	35461	39774
707	35499	39711
708	35545	39656
709	35583	39593
710	35629	39537
711	35673	39481
712	35706	39412
713	35745	39350
714	35786	39290
715	35830	39232
716	35867	39168
717	35909	39110
718	35958	39059
719	36011	39012
720	36053	38954
721	36095	38895
722	36137	38836
723	36181	38780
724	36222	38720
725	36253	38650
726	36310	38608
727	36345	38541
728	36385	38481
729	36420	38415
730	36464	38359
731	36501	38296
732	36536	38231
733	36568	38162
734	36601	38095
735	36633	38027
736	36665	379597737	36700	378937738	36737	378317739	36771	377657740	36803	376977741	36838	376327742	36869	375647743	36909	375057744	36942	374387745	36982	373797746	37022	373207747	37051	372497748	37089	371887749	37127	371277750	37156	370577751	37190	369937752	37226	369297753	37274	36878
754	37307	36813
755	37349	36756
756	37382	36690
757	37419	36629
758	37454	365667759	37490	365037760	37523	364387761	37552	363697762	37586	363057763	37624	362457764	37668	36190
765	37699	36124
766	37734	36061
767	37772	36002
768	37813	35945
769	37862	35895
770	37901	35836
771	37927	35765
772	37951	35693
773	37997	35640
774	38028	35575
775	38058	35507
776	38087	35440
777	38119	353757778	38176	35334
779	38231	35290
780	38268	35230
781	38303	35168
782	38339	35107
783	38372	35044
784	38401	34976
785	38435	34914
786	38474	34856
787	38510	34796
788	38539	34729
789	38572	34665
790	38618	34615
791	38646	34547
792	38687	34492
793	38717	34426
794	38754	34367
795	38793	34309
796	38828	34248
797	38868	34192
798	38908	34135
799	38934	34067
800	38954	33994
801	38991	33935
802	39025	33873
803	39058	33811
804	39089	33748
805	39125	33688
806	39154	33623
807	39176	33552
808	39209	33490
809	39244	33430
810	39276	33368
811	39310	33307
812	39338	33242
813	39374	33182
814	39404	33119
815	39450	33068
816	39483	33007
817	39517	32947
818	39547	32883
819	39581	32823
820	39616	32764
821	39653	32706
822	39689	32648
823	39717	32583
824	39751	32524
825	39778	32458
826	39814	32400
827	39860	32350
828	39890	32288
829	39931	32233
830	39964	32173
831	39998	32114
832	40022	32046
833	40054	31985
834	40087	31925
835	40116	31863
836	40150	31803
837	40185	31745
838	40222	31689
839	40254	31628
840	40286	31567
841	40310	31501
842	40342	31441
843	40376	31382
844	40407	31321
845	40436	31259
846	40469	31200
847	40499	31138
848	40529	31077
849	40563	31019
850	40597	30961
851	40637	30907
852	40667	30845
853	40696	30784
854	40724	30722
855	40743	30652
856	40771	30590
857	40800	30529
858	40824	30464
859	40849	30399
860	40877	30337
861	40909	30278
862	40942	30220
863	40969	30158
864	40995	30095
865	41014	30027
866	41042	29965
867	41073	29906
868	41097	29841
869	41122	29778
870	41145	29713
871	41172	29652
872	41197	29588
873	41226	29528
874	41252	29466
875	41279	29404
876	41314	29349
877	41337	29284
878	41378	29233
879	41412	29176
880	41435	29112
881	41458	29048
882	41488	28990
883	41515	28929
884	41540	28867
885	41566	28805
886	41604	28752
887	41663	28713
888	41700	28660
889	41735	28605
890	41759	28542
891	41790	28484
892	41825	28430
893	41854	28371
894	41882	28311
895	41911	28252
896	41948	28199
897	41968	28134
898	41997	28076
899	42035	28023
900	42057	27960
901	42087	27902
902	42119	27846
903	42152	27790
904	42188	27737
905	42209	27674
906	42235	27613
907	42260	27553
908	42283	27491
909	42314	27434
910	42335	27371
911	42362	27312
912	42395	27257
913	42422	27198
914	42458	27145
915	42484	27086
916	42507	27024
917	42527	26961
918	42554	26903
919	42576	26841
920	42605	26784
921	42637	26729
922	42659	26668
923	42679	26605
924	42708	26548
925	42733	26489
926	42755	26428
927	42787	26373
928	42814	26315
929	42843	26258
930	42861	26195
931	42889	26138
932	42914	26079
933	42932	26016
934	42950	25953
935	42970	25892
936	42999	25836
937	43018	25774
938	43040	25714
939	43062	25654
940	43085	25595
941	43104	25533
942	43124	25471
943	43146	25412
944	43169	25353
945	43197	25297
946	43222	25240
947	43254	25186
948	43284	25131
949	43300	25068
950	43330	25014
951	43355	24956
952	43384	24901
953	43414	24847
954	43440	24790
955	43458	24729
956	43484	24673
957	43514	24618
958	43535	24559
959	43560	24502
960	43580	24442
961	43621	24395
962	43646	24338
963	43671	24281
964	43693	24224
965	43727	24172
966	43754	24117
967	43775	24058
968	43801	24002
969	43824	23945
970	43849	23889
971	43870	23830
972	43893	23773
973	43914	23715
974	43945	23662
975	43975	23609
976	44003	23555
977	44025	23498
978	44053	23444
979	44078	23388
980	44104	23333
981	44134	23280
982	44155	23223
983	44186	23171
984	44213	23116
985	44234	23059
986	44255	23002
987	44277	22945
988	44318	22898
989	44359	22851
990	44383	22796
991	44418	22746
992	44450	22695
993	44484	22644
994	44517	22594
995	44541	22539
996	44562	22482
997	44584	22426
998	44612	22373
999	44642	22321
1000	44662	22264
1001	44678	22205
1002	44705	22152
1003	44740	22102
1004	44774	22053
1005	44802	22000
1006	44836	21950
1007	44865	21898
1008	44892	21845
1009	44910	21788
1010	44934	21733
1011	44956	21678
1012	44978	21623
1013	44999	21567
1014	45020	21512
1015	45049	21460
1016	45070	21405
1017	45100	21353
1018	45119	21297
1019	45145	21244
1020	45166	21189
1021	45193	21137
1022	45213	21081
1023	45242	21030
1024	45262	20975
1025	45290	20923
1026	45313	20869
1027	45333	20814
1028	45351	20758
1029	45372	20704
1030	45397	20651
1031	45423	20599
1032	45447	20546
1033	45478	20495
1034	45503	20443
1035	45525	20389
1036	45552	20338
1037	45589	20291
1038	45621	20241
1039	45644	20188
1040	45671	20137
1041	45687	20081
1042	45713	20029
1043	45735	19976
1044	45756	19922
1045	45781	19870
1046	45808	19819
1047	45837	19769
1048	45879	19725
1049	45905	19673
1050	45926	19620
1051	45950	19568
1052	45976	19516
1053	45996	19463
1054	46020	19411
1055	46044	19359
1056	46074	19310
1057	46105	19261
1058	46127	19208
1059	46147	19155
1060	46167	19102
1061	46203	19055
1062	46227	19004
1063	46248	18951
1064	46274	18900
1065	46303	18851
1066	46320	18797
1067	46346	18746
1068	46368	18694
1069	46399	18646
1070	46431	18598
1071	46453	18546
1072	46473	18494
1073	46506	18446
1074	46529	18395
1075	46549	18343
1076	46578	18294
1077	46608	18245
1078	46630	18193
1079	46657	18144
1080	46689	18097
1081	46706	18043
1082	46728	17992
1083	46751	17941
1084	46784	17894
1085	46808	17844
1086	46842	17797
1087	46864	17746
1088	46893	17697
1089	46921	17649
1090	46944	17598
1091	46967	17548
1092	46990	17497
1093	47016	17448
1094	47036	17397
1095	47062	17347
1096	47083	17296
1097	47113	17249
1098	47135	17198
1099	47164	17150
1100	47193	17102
1101	47219	17054
1102	47243	17004
1103	47266	16954
1104	47294	16906
1105	47316	16856
1106	47346	16808
1107	47368	16758
1108	47390	16708
1109	47416	16659
1110	47440	16610
1111	47462	16560
1112	47484	16510
1113	47502	16459
1114	47525	16410
1115	47562	16365
1116	47586	16316
1117	47610	16267
1118	47630	16217
1119	47645	16165
1120	47664	16114
1121	47683	16064
1122	47705	16015
1123	47728	15966
1124	47749	15916
1125	47768	15866
1126	47802	15821
1127	47825	15772
1128	47835	15719
1129	47863	15672
1130	47888	15624
1131	47911	15575
1132	47943	15529
1133	47959	15479
1134	47987	15432
1135	48002	15381
1136	48030	15334
1137	48052	15285
1138	48075	15237
1139	48112	15193
1140	48141	15147
1141	48163	15098
1142	48188	15051
1143	48212	15003
1144	48237	14955
1145	48271	14910
1146	48296	14863
1147	48319	14815
1148	48355	14771
1149	48370	14721
1150	48395	14674
1151	48420	14626
1152	48444	14579
1153	48469	14532
1154	48498	14486
1155	48525	14440
1156	48556	14395
1157	48582	14348
1158	48608	14301
1159	48630	14253
1160	48654	14206
1161	48675	14158
1162	48701	14111
1163	48719	14063
1164	48743	14016
1165	48774	13971
1166	48802	13925
1167	48829	13879
1168	48853	13832
1169	48882	13787
1170	48910	13741
1171	48930	13693
1172	48954	13647
1173	48986	13602
1174	49012	13556
1175	49041	13511
1176	49074	13467
1177	49095	13419
1178	49124	13374
1179	49147	13328
1180	49174	13282
1181	49200	13236
1182	49221	13189
1183	49246	13143
1184	49271	13097
1185	49294	13050
1186	49313	13003
1187	49334	12956
1188	49358	12910
1189	49395	12867
1190	49419	12821
1191	49430	12772
1192	49452	12725
1193	49470	12678
1194	49504	12635
1195	49525	12588
1196	49540	12540
1197	49571	12496
1198	49603	12452
1199	49620	12405
1200	49643	12359
1201	49673	12315
1202	49697	12269
1203	49727	12225
1204	49747	12178
1205	49766	12132
1206	49786	12085
1207	49814	12041
1208	49864	12002
1209	49897	11958
1210	49929	11915
1211	49966	11873
1212	50001	11830
1213	50027	11785
1214	50059	11742
1215	50089	11698
1216	50112	11653
1217	50146	11610
1218	50175	11566
1219	50206	11522
1220	50226	11476
1221	50260	11434
1222	50288	11389
1223	50309	11344
1224	50329	11298
1225	50356	11254
1226	50379	11209
1227	50399	11163
1228	50436	11121
1229	50460	11076
1230	50499	11035
1231	50523	10990
1232	50552	10946
1233	50579	10902
1234	50616	10861
1235	50636	10815
1236	50661	10771
1237	50683	10726
1238	50713	10683
1239	50732	10637
1240	50750	10591
1241	50785	10549
1242	50812	10505
1243	50824	10459
1244	50845	10414
1245	50877	10371
1246	50899	10326
1247	50928	10283
1248	50950	10239
1249	50973	10194
1250	50996	10150
1251	51021	10106
1252	51041	10061
1253	51063	10017
1254	51085	9972
1255	51103	9927
1256	51126	9883
1257	51162	9842
1258	51192	9799
1259	51222	9756
1260	51244	9712
1261	51264	9668
1262	51288	9624
1263	51312	9580
1264	51338	9537
1265	51365	9494
1266	51389	9450
1267	51418	9407
1268	51448	9365
1269	51477	9322
1270	51499	9278
1271	51519	9234
1272	51550	9192
1273	51578	9149
1274	51597	9105
1275	51616	9061
1276	51639	9017
1277	51663	8974
1278	51682	8930
1279	51704	8886
1280	51731	8844
1281	51748	8799
1282	51766	8755
1283	51784	8711
1284	51803	8667
1285	51834	8625
1286	51860	8582
1287	51886	8540
1288	51916	8498
1289	51938	8455
1290	51961	8412
1291	51983	8368
1292	52007	8326
1293	52033	8283
1294	52059	8241
1295	52098	8200
1296	52129	8158
1297	52158	8117
1298	52182	8074
1299	52208	8032
1300	52228	7988
1301	52249	794131302	52271	790131303	52302	786131304	52332	781131305	52357	777131306	52380	773131307	52400	769131308	52423	7641309	52486	7612
131310	52472	7561311	52543	7529
1312	52567	7486
1313	52591	7444
1314	52619	7402
1315	52658	7362
1316	52688	7321
1317	52712	7278
1318	52739	7237
1319	52769	7195
1320	52809	7155
1321	52839	7114
1322	52876	7074
1323	52901	7032
1324	52929	6990
1325	52954	6948
1326	52984	6907
1327	53010	6865
1328	53025	6822
1329	53063	6782
1330	53091	6741
1331	53113	6698
1332	53136	6657
1333	53164	6615
1334	53194	6574
1335	53221	6533
1336	53264	6493
1337	53280	6451
1338	53315	6410
1339	53364	6371
1340	53392	6330
1341	53415	6288
1342	53439	6247
1343	53462	6205
1344	53509	6166
1345	53538	6125
1346	53573	6085
1347	53606	6044
1348	53639	6004
1349	53657	5961
1350	53678	5920
1351	53712	5879
1352	53752	5840
1353	53775	5798
1354	53802	5757
1355	53844	5718
1356	53878	5677
1357	53916	5637
1358	53950	5597
1359	53976	5556
1360	53993	5514
1361	54023	5473
1362	54052	5433
1363	54099	5394
1364	54130	5353
1365	54151	5312
1366	54171	5270
1367	54200	5229
1368	54228	5189
1369	54256	5148
1370	54285	5107
1371	54314	5067
1372	54345	5026
1373	54370	4985
1374	54408	4946
1375	54428	4904
1376	54453	4864
1377	54478	4823
1378	54504	4782
1379	54530	4741
1380	54547	4700
1381	54569	4659
1382	54591	4618
1383	54609	4577
1384	54631	4536
1385	54649	4494
1386	54668	4453
1387	54687	4412
1388	54715	4372
1389	54763	4333
1390	54786	4293
1391	54806	4252
1392	54839	4212
1393	54870	4172
1394	54912	4133
1395	54938	4092
1396	54957	4051
1397	54980	4011
1398	55000	3970
1399	55031	3930
1400	55067	3891
1401	55089	3850
1402	55101	3809
1403	55120	3768
1404	55143	3728
1405	55164	3688
1406	55180	3647
1407	55196	3606
1408	55217	3566
1409	55243	3526
1410	55254	3485
1411	55271	3444
1412	55290	3404
1413	55305	3363
1414	55323	3323
1415	55348	3283
1416	55369	3243
1417	55390	3203
1418	55407	3162
1419	55428	3122
1420	55457	3083
1421	55471	3042
1422	55487	3002
1423	55497	2961
1424	55520	2922
1425	55535	2881
1426	55553	2841
1427	55570	2801
1428	55583	2761
1429	55602	2721
1430	55622	2682
1431	55647	2642
1432	55667	2602
1433	55685	2562
1434	55703	2523
1435	55720	2483
1436	55738	2443
1437	55755	2403
1438	55773	2364
1439	55795	2324
1440	55812	2285
1441	55826	2245
1442	55842	2205
1443	55858	2166
1444	55871	2126
1445	55894	2087
1446	55909	2047
1447	55926	2008
1448	55946	1969
1449	55958	1929
1450	55971	1890
1451	55987	1850
1452	56005	1811
1453	56026	1772
1454	56057	1733
1455	56074	1694
1456	56097	1655
1457	56115	1616
1458	56133	1577
1459	56146	1538
1460	56159	1499
1461	56179	1460
1462	56197	1421
1463	56217	1382
1464	56227	1343
1465	56241	1304
1466	56262	1265
1467	56275	1226
1468	56297	1188
1469	56316	1149
1470	56335	1110
1471	56356	1071
1472	56382	1033
1473	56407	994
1474	56433	956
1475	56453	917
1476	56474	879
1477	56501	841
1478	56521	802
1479	56546	764
1480	56565	725
1481	56582	687
1482	56607	648
1483	56627	610
1484	56653	572
1485	56672	533
1486	56696	495
1487	56716	457
1488	56738	419
1489	56759	380
1490	56770	342
1491	56789	304
1492	56802	266
1493	56818	228
1494	56836	190
1495	56850	152
1496	56867	113
1497	56877	75
1498	56892	37
1499	56907	0
0
